areacd,areanm,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E07000082,Stroud,35431,35507,36163,36334,35861,35154,34809,35226,36179,37229,38236,39114,40122,41577,43441,45569,47059,48065,48352
E07000083,Tewkesbury,46419,46163,47450,48600,49632,49999,50061,49858,50665,52095,54109,56283,57281,58433,58414,59311,58812,58697,58075
E07000084,Basingstoke and Deane,56173,55829,59140,61224,63105,64708,66428,67899,69145,70588,73038,75280,76039,75085,74236,74852,75735,76339,76144
E07000085,East Hampshire,34592,34499,34694,35026,36081,37413,38310,38641,38914,40153,41636,42718,43126,44127,45750,47462,48124,48438,48487
E07000086,Eastleigh,43658,43643,43168,43643,45330,46894,48229,48663,49242,49818,51391,53262,55271,56554,57922,59671,61311,62445,62753
E07000087,Fareham,33592,33487,35000,36095,36640,37102,37407,38150,38806,40009,41945,44352,46533,48177,49938,52157,53767,54480,54274
E07000088,Gosport,27846,27475,29787,30793,31610,32531,33647,34701,35326,35876,36310,36587,37245,38041,39460,40291,41312,41961,42590
E07000089,Hart,49544,49299,52577,54568,56472,58785,61552,63560,63907,62889,61814,62309,65073,67602,69003,68342,69521,71639,73906
E07000090,Havant,41202,41140,43026,45220,48157,50939,53153,54855,56402,57654,58013,57804,58340,59846,61106,60498,58281,55884,54520
E07000091,New Forest,43328,43063,44243,44663,44995,45272,45684,46127,46872,47961,49048,50111,50861,51844,53218,55254,57205,58594,59115
E07000092,Rushmoor,34032,33709,37355,40468,43687,46623,48984,51155,52974,54305,55046,55590,56462,60607,68824,82397,95258,105045,108917
E07000093,Test Valley,35980,35799,36259,37121,38765,40516,41966,42521,43049,43355,43789,43847,43723,44274,45737,48180,49526,50156,49873
E07000094,Winchester,37806,37485,40536,42590,44408,46176,47327,47643,47294,47152,47718,49306,51647,54303,56613,58118,58443,58145,57672
E07000095,Broxbourne,43289,43312,46481,49851,53092,55482,56176,55087,53345,51917,52164,53235,54685,55424,56260,57621,58254,57934,56792
E07000096,Dacorum,37444,37152,40406,42871,45096,46812,48196,49173,49781,49924,50268,50751,51270,51970,53207,53546,52545,49976,48359
E07000098,Hertsmere,40119,39555,44731,47929,50097,51427,51625,51755,52337,54154,56765,59539,61843,63969,66684,69156,70068,69323,68284
E07000099,North Hertfordshire,36535,36446,38076,40359,42982,45068,46465,47692,49072,50623,52132,53293,53793,54412,55369,57171,58644,59744,60141
E07000102,Three Rivers,61562,61334,63518,65124,66470,67734,68708,70316,71219,72777,73406,74896,76471,79894,84788,89493,92369,93329,93461
E07000103,Watford,43149,42520,46936,49394,51282,52115,51160,48179,45788,44945,45891,47376,48645,50047,51323,54988,58347,61852,62641
E07000105,Ashford,33550,33443,35695,37633,39328,40310,40723,40686,40945,41316,42458,43497,44515,44422,43962,43647,44295,45401,46207
E07000106,Canterbury,30121,29920,32257,33715,34724,35334,35740,36148,36758,37818,39257,40449,40708,40299,39945,40320,41223,41963,42342
E07000107,Dartford,47035,46853,49588,50748,51602,51629,51930,52128,52144,51906,51648,52177,53541,55756,58005,60175,60013,58769,56839
E07000108,Dover,36832,36494,39884,40852,41089,41207,42701,45525,49345,52300,53740,54470,55785,57423,58468,59391,60871,62481,63412
E07000109,Gravesham,31790,31651,32939,34305,36275,37658,38617,38694,39215,40362,42383,44473,45501,45245,44476,45106,47238,49708,51056
E07000110,Maidstone,31336,31193,32624,33719,35220,36935,38558,39467,39870,40172,40556,41269,42304,44067,45949,48041,49728,51307,52104
E07000111,Sevenoaks,38409,37954,41836,44529,47084,48367,48491,47189,47108,48512,51765,55311,58607,60764,63077,65119,67868,69070,69668
E07000112,Folkestone and Hythe,32760,32351,36126,38451,40034,40607,40661,40209,39625,39254,39378,40034,41449,44343,48397,51873,53169,52459,51425
E07000113,Swale,42146,41786,42964,43310,44377,45025,45341,44032,43079,42646,43439,44479,45662,46540,47480,49226,51561,54150,55511
E07000114,Thanet,27603,27510,29312,30686,32039,32988,33995,34699,35153,35172,35606,36608,37885,38460,38699,39348,40671,41786,42267
E07000115,Tonbridge and Malling,44405,44133,46020,47559,49381,51517,53571,54808,55615,56235,57300,57992,58388,59497,61823,65494,68086,69608,69702
E07000116,Tunbridge Wells,34965,34429,39972,43866,46995,48779,49576,49794,50514,51124,51210,50274,49936,51500,55122,58158,59112,58178,57177
E07000117,Burnley,29751,29492,31801,33701,35453,36536,37118,37244,38438,39932,42105,43163,43579,43533,44755,46859,48954,49773,49843
E07000118,Chorley,29276,29155,29940,30492,31234,32220,33315,33756,34040,34321,35190,36520,38377,40788,43240,45241,46548,47253,47557
E07000119,Fylde,55071,55135,58330,60493,61161,60243,57997,55935,54833,54711,54062,52972,52333,54559,57651,60459,60806,60661,60272
E07000120,Hyndburn,29551,29402,31403,32838,33875,34722,35712,37234,38705,39677,40401,41231,42920,44989,46567,46669,45233,44089,43460
E07000121,Lancaster,30378,29984,33366,35752,37492,37938,37296,36187,36146,36862,38485,40097,41511,42829,43487,44473,45032,45717,45853
E07000122,Pendle,34678,34287,37869,39673,40438,40533,40283,40065,39898,39970,40397,41615,43090,45412,47395,49400,49495,48824,47695
E07000123,Preston,30114,29790,32070,33518,34586,35463,36166,37066,38162,39462,40658,41514,42914,44611,46647,47351,47275,46623,46324
E07000124,Ribble Valley,45644,45121,50190,52898,54238,53039,49568,45265,43072,43585,47057,51503,55618,57169,57358,56454,55507,53780,52576
E07000125,Rossendale,31364,30986,32044,33014,33990,35219,35565,36077,36302,37141,37963,39233,40039,40774,41258,42450,42994,43600,43546
E07000126,South Ribble,48999,48815,50104,50772,52018,52794,53538,52067,50531,48429,49231,51672,56394,60367,63383,64437,64734,64398,64217
E07000127,West Lancashire,33955,33605,34589,34813,35171,36028,37093,38081,38766,39370,40039,41000,42145,43555,44853,46650,47707,48538,48484
E07000128,Wyre,27750,27696,28332,28755,29205,29526,29527,29342,29946,31621,34080,36652,39229,41511,43051,44330,45173,45962,46103
E07000129,Blaby,44677,44183,46759,47893,49310,51188,53855,55853,57055,57346,58582,60596,62416,62741,61709,60504,59850,59724,59822
E07000130,Charnwood,39016,39037,40404,41539,42390,42939,43486,44049,44706,45027,45046,44667,44636,45650,47401,49332,50028,49913,49347
E07000131,Harborough,34360,34198,34671,35194,36001,37265,38748,39598,40255,39960,40452,41426,43576,45212,46089,46320,46662,47345,47820
E07000132,Hinckley and Bosworth,31058,30883,32362,33858,36096,38532,40573,41529,42319,42950,43974,44907,45886,46875,48026,50050,51896,53249,53480
E07000133,Melton,35121,35008,35647,36270,37437,38337,39137,39645,39880,39773,40069,40934,42846,44732,46954,49753,52449,54505,55083
E07000134,North West Leicestershire,41021,40694,41977,42935,43942,45087,45894,46427,46644,47370,48838,51341,53579,54606,55059,55131,55034,54373,53664
E07000135,Oadby and Wigston,34118,33961,33699,33697,34224,35394,36537,37415,38110,39208,40428,41282,41129,40265,39551,39541,40212,40996,41419
E07000136,Boston,33543,33594,32686,32156,32500,33217,34089,34123,33569,33254,33936,35856,37927,39180,39306,39788,40892,42484,43265
E07000137,East Lindsey,28887,28865,28882,28771,28920,29479,30448,31122,31836,33252,35528,37785,38499,38297,37742,38180,38329,38594,38338
E07000138,Lincoln,30492,30237,31696,32666,33790,35032,36425,37687,38997,40144,40877,41398,41987,43150,44477,45980,47163,48168,48578
E07000139,North Kesteven,39447,39471,38676,38866,39962,41325,42001,41232,40422,40581,42164,43706,44090,43993,44319,45923,47623,48820,49164
E07000140,South Holland,35478,35314,35473,35274,35508,36240,37504,38182,38484,38735,40208,41970,43663,44809,46685,48864,50905,51695,51891
E07000141,South Kesteven,33597,33452,34768,35721,36797,37428,37786,37777,38296,39297,40825,42033,42991,43321,43533,43659,43873,43939,43826
E07000142,West Lindsey,31864,31715,33155,33683,34380,35022,36455,37471,38423,38957,40317,42196,43666,44454,44944,46389,47994,49121,49386
E07000143,Breckland,30897,30887,30909,31767,33420,35483,37618,39343,40341,40820,41118,41647,42052,42730,43506,44650,45342,45945,46108
E07000144,Broadland,34659,34759,35588,37246,39819,42076,44567,46121,47094,47075,47237,48361,50289,53214,56238,60537,64885,69218,71442
E07000145,Great Yarmouth,31384,31342,33062,34417,36036,37450,38325,38656,39212,40836,42853,44660,44996,44490,43278,43027,42794,42788,42334
E07000146,King's Lynn and West Norfolk,33309,33254,33769,34678,35811,36693,37304,37790,38460,39905,41484,43224,44025,44274,44275,44639,45633,46710,47392
E07000147,North Norfolk,27279,27240,28237,29625,31663,33546,34723,34691,34396,34208,34582,35235,35842,36591,37285,38322,38260,37850,37021
E07000148,Norwich,25001,24770,26295,27116,27847,29313,31238,33282,34701,35846,36921,38232,39137,39944,40389,41310,41996,42875,43219
E07000149,South Norfolk,38050,38003,38604,39596,40884,42344,43125,42953,42323,41732,42095,42515,43144,43191,43535,44078,45117,46322,47123
E07000163,Craven,29577,29563,30479,30959,31459,31664,32101,32878,34387,35569,36045,35649,35991,37164,39082,40816,42103,43140,43607
E07000164,Hambleton,33088,32833,35390,37016,39098,40309,40619,39796,39413,39982,41140,42245,43625,45159,46814,48394,49526,50604,50964
E07000165,Harrogate,33250,32952,34702,35627,36388,36888,36767,36215,35944,36381,37344,38519,39286,40641,42355,45080,46852,48070,48250
E07000166,Richmondshire,20582,20395,21761,22360,22690,22947,22947,23244,23895,24888,25902,27083,28298,28606,28086,27431,27837,28605,29245
E07000167,Ryedale,27871,27533,28324,28109,28335,29353,30835,32310,34040,36248,38292,39067,39345,40022,42097,44509,47132,48938,50067
